rank,person,telegram_username,telegram_messages,discord_username,discord_messages,x_posts,articles,videos,total,first,last,telegram_distinct_days,verified_activity_days_min,public_groups,identity_note,summary_tier,activity_summary
1,Kui He / motoengineer,@kuixihe,44234,motoengineer,17758,0,15,30,62037,2020-05-16,2026-07-11,1368,1368,6,Telegram human account; exact public Discord identity mapping,over_5000,"Entre mayo de 2020 y julio de 2026 acumuló 62.037 contribuciones verificadas: 44.234 mensajes de Telegram, 17.758 de Discord, 15 artículos y 30 vídeos. Su actividad combina soporte cotidiano con trabajo entregado: lanzó Koinos Forum, reactivó AMAs, cofundó y operó BurnKoin y KAP, cofundó Koinos-Social, mantuvo nodos y produjo una biblioteca educativa de treinta vídeos antes de integrarse en la Koinos Community Foundation. Habló de minería, mana, gobernanza, seguridad de dApps, liquidez y financiación; defendió que los cambios difíciles de revertir debían evaluarse por su impacto colectivo y resumió el trabajo menos visible con la frase “Builders are laying foundation, you might not always see it”. En 2024-2025 también propuso escenarios explícitos de financiación e interoperabilidad y debatió si la infraestructura debía mantenerse incluso en un declive del ecosistema. Su volumen refuerza una continuidad ya demostrada por productos, operación y educación, pero no convierte en autoría suya el código que pertenece a Luke Willis, Roamin u otros colaboradores."
2,G Millie / DeGemsCrew,@DeGemsCrew,36303,,0,0,0,0,36303,2021-11-07,2026-06-26,1154,1154,8,Telegram human account; Discord not individually inventoried,over_5000,"Entre noviembre de 2021 y junio de 2026 registró 36.303 mensajes, principalmente en Koinos Army. Fue organizador, administrador, anfitrión de AMAs e impulsor del producto NFT de la comunidad, además de enlace con DeGems Lounge; no fue el fundador técnico, artista ni desarrollador del contrato de Koinos Army Journey. Sus conversaciones se concentraron en mercado, KoinDX, NFTs, liquidez y coordinación comunitaria, y sostuvo que las prioridades y la financiación a corto plazo debían presentarse a la comunidad para votación. También dejó una memoria crítica de la etapa posterior a Koinos Group, describiendo la falta de desarrollo, awareness, exchanges y dinero como una situación “bleak”. La cifra muestra que sostuvo el espacio social durante años, mientras que las atribuciones de Glen, Eman, Adem y MiXiBo deben conservarse por separado."
3,Koinos The Goat,@KoinosTheGoat,24885,,0,0,0,1,24886,2021-03-05,2026-06-09,1434,1434,5,Telegram human account; Discord not individually inventoried,over_5000,"Entre marzo de 2021 y junio de 2026 reunió 24.886 contribuciones, casi todas mensajes, más su vídeo independiente The Chronicles of Koinos. Creó la persona Koinos The Goat y su metáfora de las comisiones, organizó y corrigió copy comunitario, explicó mana, inflación, wallets, claims y dApps, apareció en The Koin Press y más tarde relacionó mana con permisos para agentes de IA. En sus intervenciones insistió en que “Mana is WORTHLESS. That is why it is so valuable”, propuso hablar de game tokens en lugar de reducir todo a meme tokens y fue cada vez más crítico con la incapacidad del proyecto para alcanzar el mercado. Su papel fue narrativa económica, soporte y cultura comunitaria: él mismo dijo “I am not a dev”, y no existe código, cargo empresarial ni autoría del protocolo atribuible a su volumen."
4,Diamond Hands,@diamondhands12345,21385,,0,0,0,0,21385,2023-08-17,2025-09-17,744,744,7,Telegram human account; Discord not individually inventoried,over_5000,"Entre agosto de 2023 y septiembre de 2025 publicó 21.385 mensajes en los grupos principal, Army y TCB. Su actividad fue sobre todo conversación de mercado y seguimiento de wallets, NFTs y dApps, pero en 2025 se convirtió también en una voz insistente en el debate sobre fondos comunitarios, mantenimiento de desarrolladores y el puente Vortex. Planteó que los dos problemas centrales eran la falta de desarrolladores capaces de mantener la cadena y la economía del token, y pidió decidir públicamente si el KOIN y USDT donados debían ir al fondo de desarrollo y a la interoperabilidad. El registro demuestra una participación cuantitativa y deliberativa muy alta, no la autoría de Vortex, contratos, wallets o decisiones de la Fundación."
5,Carlos Welele,@Weleleliano,18338,,0,0,0,0,18338,2021-03-08,2026-06-26,1187,1187,8,Telegram human account; Discord not individually inventoried,over_5000,"Entre marzo de 2021 y junio de 2026 aportó 18.338 mensajes en inglés y español, con fuerte presencia en el grupo principal, Koinos Army y Koinos Hispano. Actuó como explicador bilingüe, moderador práctico y operador de flujos de difusión de Koinos Socials: orientó claims, wallets sin custodia, seguridad, puentes, exchanges y dApps, y denunció grupos falsos o contactos sospechosos. Sus mensajes discutieron cómo Kondor, Konio y otras interfaces podían esconder fricción —por ejemplo, cubrir mana desde otra cuenta al mover todo un saldo— y presentó el ecosistema español como una sucesión de productos, integraciones y eventos que había que traducir para usuarios no técnicos. Parte de su volumen incluye retransmisión de anuncios y conversación social; por ello se reconoce su infraestructura comunicativa sin atribuirle la autoría de los productos que explicaba."
6,Andrew Levine,@andrarchy,11430,andrarchy,4667,11,11,0,16119,2019-11-18,2026-02-11,1009,1009,9,Telegram human account; exact public Discord identity mapping,over_5000,"Entre noviembre de 2019 y febrero de 2026 suma 16.119 contribuciones verificadas, incluidas 4.667 intervenciones en Discord, 11 publicaciones de X y 11 artículos inventariados. Como fundador y principal comunicador inicial explicó OpenSeed/OpenOrchard, el fair launch, la arquitectura modular, mana, gobernanza y la misión de una experiencia fee-less, además de coordinar campañas y relación con desarrolladores. En 2022 decía que la gobernanza estaba completa, KoinDX ya funcionaba en testnet y una stablecoin sería una buena oportunidad; en 2023 subrayó que tres años de trabajo reunían aportes de Kondor, KoinDX, Roamin, Kollection, KAP y Koiner, no solo del equipo fundador. Su actividad mezcla diseño narrativo, decisiones de producto, soporte y reconocimiento de terceros, y debe distinguirse de la implementación técnica concreta de Steve, Michael, Julián u otros autores."
7,Saleh Hawi,@saleh_hawi,12180,,0,0,0,0,12180,2023-01-06,2026-04-07,748,748,5,Telegram human account; Discord not individually inventoried,over_5000,"Entre enero de 2023 y abril de 2026 registró 12.180 mensajes, especialmente en el grupo principal, Army y KoinDX. Fue organizador, moderador, operador de soporte y colaborador de producto y negocio de KoinDX, y coordinó una campaña comunitaria para conseguir nuevas listas en exchanges; no fue uno de los cofundadores originales ni el autor de los contratos del DEX. Explicó cómo entrar en ventas y marketplaces, cómo mover KOIN entre CEX, wallets y puentes, cómo funcionaban Fogata y los NFT de apoyo, y por qué una primera experiencia Web3 sin gas podía ser más comprensible para nuevos usuarios. También advirtió sobre imitaciones, preventas inexistentes y mensajes privados, de modo que su volumen refleja onboarding y seguridad además de promoción de mercado."
8,VonLooten,@von9000,9063,VonLooten,2327,0,5,0,11395,2021-06-30,2024-04-13,790,790,5,Telegram human account; exact public Discord identity mapping,over_5000,"Entre junio de 2021 y abril de 2024 acumuló 11.395 contribuciones verificadas, incluidas 2.327 de Discord y cinco artículos. Como cofundador y CEO original de KoinDX dirigió estrategia, comunicación, documentación, KNDX/KOINDX, el DAO propuesto, IDO, launchpad, pares oficiales, partnerships y soporte, con trabajo de producto adicional. Explicó que los pares debían añadirse mediante gobernanza y controles de seguridad, que los NFT de apoyo eran donaciones opcionales sin utilidad especial y que el DEX fee-less podía cambiar la experiencia DeFi. También discutió el valor del token nativo y los límites de dApps sin una razón económica real. El código principal de los contratos AMM no debe atribuirse automáticamente a él: Ederaleng era CTO y existe evidencia técnica más fuerte para su implementación."
9,Techno🔮,@T5chn0,9968,,0,0,0,0,9968,2021-01-31,2024-11-04,850,850,4,Telegram human account; Discord not individually inventoried,over_5000,"Entre enero de 2021 y noviembre de 2024 publicó 9.968 mensajes, casi todos en el grupo principal. Fue una voz de mercado y soporte muy constante: siguió minería y grandes holders, explicó cómo comprar o puentear activos, orientó sobre Kondor, Koiner, KoinDX y MEXC, promocionó campañas y recordó a los recién llegados que los miembros del equipo no iniciaban mensajes privados. Defendió públicamente el trabajo no remunerado de Julián y utilizó el NFT de Kondor como ejemplo de apoyo directo a un desarrollador. Su posición en esta lista procede de conversación, ayuda y amplificación, no de un producto, repositorio o cargo formal verificado."
10,Steve Gerbino,@sgerbino,5873,Steve,3520,0,0,0,9393,2020-10-06,2026-03-22,507,507,6,Telegram human account; exact public Discord identity mapping,over_5000,"Entre octubre de 2020 y marzo de 2026 suma 9.393 contribuciones, con 5.873 mensajes de Telegram y 3.520 de Discord. Como fundador y CTO explicó desde el fair launch que la frecuencia de pruebas afectaba al gasto de ETH y la varianza, no al hardware; después cubrió arquitectura, releases, nodos, Proof of Burn, KCS, upgrades y soporte a operadores. En 2025 defendió que KCS-4 podía permitir listados automáticos seguros de tokens y NFTs y llegó a proponer una nueva cadena que conservara WASM, recursos, Proof of Burn, StateDB y account abstraction, pero eliminara gobernanza y microservicios para priorizar velocidad. Ese último planteamiento es una posición de diseño posterior, no un milestone ya entregado de Koinos. Su volumen sí acompaña una función técnica fundacional y sostenida, aunque la autoría de cada componente debe seguir el historial de repositorios."
11,Julián González / Jga,@joticajulian,5743,jga,3421,0,36,0,9200,2020-10-20,2026-07-01,942,942,6,Telegram human account; exact public Discord identity mapping,over_5000,"Entre octubre de 2020 y julio de 2026 acumula 9.200 contribuciones: 5.743 mensajes de Telegram, 3.421 de Discord y 36 artículos. Su arco va desde minería y pools hasta Koilib, Kondor, el claim de WKOIN, Fogata, Koinos Polls, Nicknames, Arkinos, smart wallets, KFS, estándares y mantenimiento de red; también sostuvo soporte técnico bilingüe y operación de productores. Explicó que un NFT estándar básico no debía incorporar precios ni llamadas a KOIN por defecto, presentó Arkinos como una vía para crear contrato y frontend en minutos y ayudó a usuarios a recuperar o mover fondos basándose en las reglas verificables de los contratos. Su volumen corresponde a una producción técnica excepcionalmente amplia, pero varios productos y estándares fueron colaboraciones y no lo convierten en arquitecto fundador del protocolo."
12,q t,@quietester,8875,,0,0,0,0,8875,2022-11-21,2026-07-04,790,790,9,Telegram human account; Discord not individually inventoried,over_5000,"Entre noviembre de 2022 y julio de 2026 registró 8.875 mensajes repartidos entre el grupo principal, Army, KoinCity, KoinDX y Koin Crew. Fue un usuario intensivo y observador crítico de KoinCity, KoinDX, Chainge, Kollection, KAP, Kanvas, exploradores y minería, con frecuentes debates sobre liquidez, marketing y financiación. Animó a la gente a usar las dApps disponibles y a conocer sus diferencias, pero advirtió que gastar KOIN inflado en propuestas no tenía sentido sin asegurar antes exchanges, DEX y Vortex; también cuestionó campañas cuyo resultado debía medirse por volumen y adopción. El registro sirve para reconstruir recepción de producto y escepticismo económico, no autoría técnica ni poder de decisión."
13,edje Ӄ,@edje42,8688,,0,0,0,0,8688,2020-11-18,2026-01-28,409,409,8,Telegram human account; Discord not individually inventoried,over_5000,"Entre noviembre de 2020 y enero de 2026 publicó 8.688 mensajes en los grupos principal, Army, KoinCity, Koin Crew y KoinDX. Actuó como usuario explorador y catalogador informal: probó wallets y puentes, comparó utilidades de colecciones NFT, preguntó por mana gratuito y propuso una vista unificada de servicios y un asistente de IA actualizado con wallets, bridges y dApps. Sus intervenciones documentan fallos reales de onboarding —por ejemplo claims de Chainge que no se reflejaban— y la dificultad de explicar qué utilidad tenía cada colección o producto. Su valor histórico es la observación sostenida de UX y ecosistema, sin evidencia de autoría de los productos mencionados."
14,Pablo García / pgarcgo,@pgarcgo,7971,pgarcgo,396,0,0,0,8367,2020-04-16,2026-07-15,875,875,10,Telegram human account; exact public Discord identity mapping,over_5000,"Entre abril de 2020 y julio de 2026 suma 8.367 contribuciones verificadas, incluidas 396 de Discord. Empezó como organizador y educador de la comunidad española, creó Koincast y directorios de proyectos, probó testnet, claims, wallets, pools y dApps, y evolucionó hacia operación de nodos, testnet/API comunitarios, Koinos One, el nodo monolítico Teleno y trabajo de reparación de state database y replay. En español explicó custodia propia, semillas y el proceso de claim; en 2025 resumió prioridades como operación de red, Vortex, KFS y custodia comunitaria de infraestructura. Su actividad demuestra un cambio de comunicación a infraestructura y contribución consensus-adjacent, pero no lo convierte retrospectivamente en arquitecto fundador de Koinos."
15,Justin Welch / Justin W.,@justinw_t,5390,justinw,1806,0,0,0,7196,2020-10-14,2026-05-12,629,629,6,Telegram human account; exact public Discord identity mapping,over_5000,"Entre octubre de 2020 y mayo de 2026 registra 7.196 contribuciones, incluidas 1.806 de Discord. Pasó de minero y solucionador técnico a cofundador de Kollection, iniciador del repositorio Koinos Contract Standards, coautor de KCS-2 y colaborador de Koinos.io, Vortex, Koinos.fun y la Fundación, trabajando en contratos, frontend, indexación, AWS y despliegues. Explicó cómo agregadores como DefiLlama dependen de APIs separadas, defendió liquidez nativa y un puente accesible desde Ethereum, y en 2025 dijo que Vortex debía lanzarse pero que él no podía liderarlo responsablemente por falta de tiempo, aunque ayudaría con ingeniería. Su volumen acompaña entregas verificables, pero Kollection, KCS-2, Vortex y Koinos.fun tuvieron equipos y autorías compartidas."
16,Tobi,@TellingMountains,6979,,0,0,0,0,6979,2021-04-05,2026-06-27,903,903,6,Telegram human account; Discord not individually inventoried,over_5000,"Entre abril de 2021 y junio de 2026 publicó 6.979 mensajes, más de seis mil en Koinos Army. Su conversación combinó seguimiento de precio, consejos sobre BurnKoin/Fogata/VHP, expectativas sobre KoinDX y dApps, y debates sobre donaciones y financiación comunitaria. Explicó que quemar KOIN era una estrategia de largo plazo y que VHP podía recuperar liquidez mediante pools o mercado; con el tiempo pasó de esperar que las dApps impulsaran adopción a expresar frustración porque, tras cinco años, el crecimiento seguía siendo casi nulo. Es una voz útil para medir sentimiento y continuidad del holder, no una autoría de productos o infraestructura."
17,Nomad100x,@nomad100x,6346,,0,0,0,0,6346,2021-02-05,2026-07-11,965,965,11,Telegram human account; Discord not individually inventoried,over_5000,"Entre febrero de 2021 y julio de 2026 acumuló 6.346 mensajes, sobre todo en la comunidad española y el grupo principal. Como participante, patrocinador y crítico impulsó Koinos Garden pagando a un desarrollador externo para construir un DAO de inversión y votación con acceso NFT, y debatió después Federación, KFS, inflación, puentes, liquidez y prioridades de producto. Sostuvo que dos años de mainnet sin bridge ni DeFi suficiente era un problema, defendió inflación limitada mediante propuestas y presentó la regla “un NFT, un voto” como base de descentralización para Garden. Él mismo se definió como no desarrollador: el contrato pertenece al autor de GitHub, y no hay evidencia de que Garden financiara proyectos concretos."
18,Ӄirky Ӄirk 🔮,@kirkykirk92,5987,,0,0,0,0,5987,2021-08-29,2025-02-24,604,604,5,Telegram human account; Discord not individually inventoried,over_5000,"Entre agosto de 2021 y febrero de 2025 registró 5.987 mensajes, principalmente en el grupo principal y Koinos Army. Su actividad fue onboarding y cultura comunitaria: comparó narrativas, orientó sobre CLI, Kondor y MEXC, sugirió accesos rápidos a KoinDX/KoinCity/Kollection y advirtió que ningún miembro del equipo debía contactar primero por privado. Defendía que gráficos y comparaciones podían despertar curiosidad si se acompañaban de whitepapers y fuentes, y pedía due diligence para evitar que la promoción pareciera otro proyecto fraudulento. No se encontró producto, repositorio ni puesto formal asociado a este volumen."
19,Luke Willis,@lukemwillis,3225,luke.koin,2560,0,1,0,5786,2021-11-10,2024-06-14,431,431,4,Telegram human account; exact public Discord identity mapping,over_5000,"Entre noviembre de 2021 y junio de 2024 suma 5.786 contribuciones, con 3.225 mensajes de Telegram, 2.560 de Discord y un artículo inventariado, además de 57 episodios de audio excluidos del total solicitado. Creó The Koin Press, propuso el Virtual Hash Power fungible que fue acreditado en el diseño KPoB, escribió los contratos y frontend originales de BurnKoin, cofundó KAP y construyó su interfaz. Habló de seguridad de upgrades, incentivos de minería, inflación y accesibilidad; sostuvo que el objetivo no debía ser simplemente quien compra KOIN, sino quien aprende, construye una dApp y se convierte en embajador. Su contribución une protocolo, producto y educación, con la frontera de que Roamin escribió gran parte de los contratos supervivientes de KAP y Kui compartió operación y comunicación."
20,MiXiBo,@mixibo_koincity,4884,MiXiBo,630,0,4,0,5518,2021-03-06,2026-05-04,483,483,8,Telegram human account; exact public Discord identity mapping,over_5000,"Entre marzo de 2021 y mayo de 2026 registra 5.518 contribuciones, incluidas 630 de Discord y cuatro artículos. Como principal desarrollador y operador de KoinCity amplió un launchpad no-code hacia presales, locks, mercados, staking, chats, integración con KoinDX, APIs, NFT minting y su propia infraestructura; también mantuvo soporte directo en el grupo del producto. Explicó diseños como órdenes procesadas por un hot wallet con mana compartido, evaluó la utilidad real de más de 170 launchpads y reconoció tanto la dificultad de partnerships informales como la necesidad de seguir construyendo tras cierres o fallos. Su volumen está especialmente concentrado en KoinCity y sí acompaña autoría y operación, aunque las colecciones, tokens y proyectos creados por terceros no pasan a ser obra suya."
21,Alberto / Transeunte,@transeunte,4743,,0,0,34,2,4779,2021-11-02,2026-06-11,523,523,5,Telegram human account; Discord not individually inventoried,over_1000,"Entre noviembre de 2021 y junio de 2026 reunió 4.779 contribuciones combinando 4.743 mensajes, 34 artículos y dos vídeos. Su trabajo fue comunicación bilingüe, archivo de productos, storytelling visual y defensa del usuario no técnico: creó Mundo Koinos/Koinos World, experimentó con vídeos y NFTs, amplificó campañas y presentó un centro de comunicación y marketing para financiación. En sus mensajes predominan mercado, wallets, seguridad y productos como MEXC, Kondor, Sovrano y Koiner, siempre desde la pregunta de cómo hacer visible y comprensible el ecosistema. No fue desarrollador; sus colecciones NFT tempranas llegaron a prueba, no a un lanzamiento mantenido."
22,Jm - Kantian,@Jmpre,4755,,0,0,0,0,4755,2023-09-20,2025-05-31,240,240,5,Telegram human account; Discord not individually inventoried,over_1000,"Entre 2023-09-20 y 2025-05-31 registró 4.755 contribuciones, con mayor presencia en Koinos y Koinos Army. La clasificación del historial sitúa sus mensajes principalmente en precios, liquidez, exchanges y evolución del mercado, wallets, exploradores y dApps del ecosistema y coordinación comunitaria, campañas, contenidos y difusión. Entre los productos citados con más frecuencia aparecen KoinCity, KoinDX y MEXC, lo que permite reconstruir qué partes del ecosistema seguía, probaba o comentaba. Este resumen describe actividad conversacional verificable; las menciones y el volumen no demuestran por sí mismos autoría técnica, liderazgo formal ni impacto del mismo nivel."
23,MoonMan,@The_MoonMan,4719,,0,0,0,0,4719,2022-03-17,2025-03-06,478,478,8,Telegram human account; Discord not individually inventoried,over_1000,"Entre 2022-03-17 y 2025-03-06 registró 4.719 contribuciones, con mayor presencia en Koinos y KoinDX. La clasificación del historial sitúa sus mensajes principalmente en precios, liquidez, exchanges y evolución del mercado, conversación social, saludos, humor y cultura cotidiana del grupo y coordinación comunitaria, campañas, contenidos y difusión. Entre los productos citados con más frecuencia aparecen KoinDX, MEXC y Kondor, lo que permite reconstruir qué partes del ecosistema seguía, probaba o comentaba. Este resumen describe actividad conversacional verificable; las menciones y el volumen no demuestran por sí mismos autoría técnica, liderazgo formal ni impacto del mismo nivel."
24,Tonimontana,@tonimontana0328,4099,,0,0,0,0,4099,2020-11-16,2024-03-22,426,426,6,Telegram human account; Discord not individually inventoried,over_1000,"Entre 2020-11-16 y 2024-03-22 registró 4.099 contribuciones, con mayor presencia en Koinos y Koinos Army. La clasificación del historial sitúa sus mensajes principalmente en precios, liquidez, exchanges y evolución del mercado, minería, VHP, productores, nodos y operación de infraestructura y wallets, exploradores y dApps del ecosistema. Entre los productos citados con más frecuencia aparecen MEXC, KoinDX y Chainge, lo que permite reconstruir qué partes del ecosistema seguía, probaba o comentaba. Este resumen describe actividad conversacional verificable; las menciones y el volumen no demuestran por sí mismos autoría técnica, liderazgo formal ni impacto del mismo nivel."
25,Yo Yo,@yoyo420yo,3970,,0,0,0,0,3970,2024-10-11,2025-09-27,147,147,4,Telegram human account; Discord not individually inventoried,over_1000,"Entre 2024-10-11 y 2025-09-27 registró 3.970 contribuciones, con mayor presencia en Koinos y Koinos TCB. La clasificación del historial sitúa sus mensajes principalmente en precios, liquidez, exchanges y evolución del mercado, wallets, exploradores y dApps del ecosistema y coordinación comunitaria, campañas, contenidos y difusión. Entre los productos citados con más frecuencia aparecen Chainge, KoinDX y Vortex, lo que permite reconstruir qué partes del ecosistema seguía, probaba o comentaba. Este resumen describe actividad conversacional verificable; las menciones y el volumen no demuestran por sí mismos autoría técnica, liderazgo formal ni impacto del mismo nivel."
26,Sergio🔮,@Sergiocx2020,3793,,0,0,0,0,3793,2021-12-24,2025-12-31,612,612,7,Telegram human account; Discord not individually inventoried,over_1000,"Entre 2021-12-24 y 2025-12-31 registró 3.793 contribuciones, con mayor presencia en Koincast / Koinos Hispano y Koinos Army. La clasificación del historial sitúa sus mensajes principalmente en precios, liquidez, exchanges y evolución del mercado, coordinación comunitaria, campañas, contenidos y difusión y wallets, exploradores y dApps del ecosistema. Entre los productos citados con más frecuencia aparecen KoinDX, Kondor y Konio, lo que permite reconstruir qué partes del ecosistema seguía, probaba o comentaba. Este resumen describe actividad conversacional verificable; las menciones y el volumen no demuestran por sí mismos autoría técnica, liderazgo formal ni impacto del mismo nivel."
27,J Lo 🔮,@jlo401,3623,,0,0,0,0,3623,2021-12-21,2026-06-14,558,558,8,Telegram human account; Discord not individually inventoried,over_1000,"Entre 2021-12-21 y 2026-06-14 registró 3.623 contribuciones, con mayor presencia en Koinos Army y Koinos. La clasificación del historial sitúa sus mensajes principalmente en precios, liquidez, exchanges y evolución del mercado, conversación social, saludos, humor y cultura cotidiana del grupo y wallets, exploradores y dApps del ecosistema. Entre los productos citados con más frecuencia aparecen MEXC, KoinDX y Chainge, lo que permite reconstruir qué partes del ecosistema seguía, probaba o comentaba. Este resumen describe actividad conversacional verificable; las menciones y el volumen no demuestran por sí mismos autoría técnica, liderazgo formal ni impacto del mismo nivel."
28,Blank User,@blankuser1,3481,,0,0,0,0,3481,2024-06-16,2026-07-13,287,287,4,Telegram human account; Discord not individually inventoried,over_1000,"Entre 2024-06-16 y 2026-07-13 registró 3.481 contribuciones, con mayor presencia en Koinos Army y Koincity. La clasificación del historial sitúa sus mensajes principalmente en precios, liquidez, exchanges y evolución del mercado, conversación social, saludos, humor y cultura cotidiana del grupo y wallets, exploradores y dApps del ecosistema. Entre los productos citados con más frecuencia aparecen KoinCity, MEXC y Koiner, lo que permite reconstruir qué partes del ecosistema seguía, probaba o comentaba. Este resumen describe actividad conversacional verificable; las menciones y el volumen no demuestran por sí mismos autoría técnica, liderazgo formal ni impacto del mismo nivel."
29,Isaac Dozier Ӄ 🔮,@Isaacdozier,3397,,0,0,0,0,3397,2020-11-21,2026-05-19,497,497,8,Telegram human account; Discord not individually inventoried,over_1000,"Entre 2020-11-21 y 2026-05-19 registró 3.397 contribuciones, con mayor presencia en Koinos y Koinos Army. La clasificación del historial sitúa sus mensajes principalmente en wallets, exploradores y dApps del ecosistema, coordinación comunitaria, campañas, contenidos y difusión y precios, liquidez, exchanges y evolución del mercado. Entre los productos citados con más frecuencia aparecen KoinDX, KAP y Kondor, lo que permite reconstruir qué partes del ecosistema seguía, probaba o comentaba. Este resumen describe actividad conversacional verificable; las menciones y el volumen no demuestran por sí mismos autoría técnica, liderazgo formal ni impacto del mismo nivel."
30,H🔮,@Callith,3308,,0,0,0,0,3308,2021-01-21,2023-11-21,519,519,7,Telegram human account; Discord not individually inventoried,over_1000,"Entre 2021-01-21 y 2023-11-21 registró 3.308 contribuciones, con mayor presencia en Koinos y Koinos Army. La clasificación del historial sitúa sus mensajes principalmente en precios, liquidez, exchanges y evolución del mercado, coordinación comunitaria, campañas, contenidos y difusión y wallets, exploradores y dApps del ecosistema. Entre los productos citados con más frecuencia aparecen Koiner, MEXC y KoinDX, lo que permite reconstruir qué partes del ecosistema seguía, probaba o comentaba. Este resumen describe actividad conversacional verificable; las menciones y el volumen no demuestran por sí mismos autoría técnica, liderazgo formal ni impacto del mismo nivel."
31,Adem / Kenpachi,@Kenpachikid,3280,,0,0,0,0,3280,2021-08-29,2024-12-11,405,405,4,Telegram human account; Discord not individually inventoried,over_1000,"Entre agosto de 2021 y diciembre de 2024 publicó 3.280 mensajes, sobre todo en Koinos Army y KoinDX. Fue co-owner temprano de Army, moderador y contacto de soporte de KoinDX y curador/marketing de Koinos Army Journey; dio la bienvenida a usuarios, difundió eventos y releases, explicó KNDX/IDO/Mana y alertó de suplantaciones y ofertas antes del lanzamiento. Su conversación es principalmente coordinación y cultura comunitaria, no desarrollo: no existe GitHub público ni evidencia de contratos, arte o tokenomics escritos por él."
32,@interfecto / Atb 3tb,@interfectoewm,3123,,0,3,0,0,3126,2022-11-07,2026-07-14,401,401,5,Telegram human account; Discord not individually inventoried,over_1000,"Entre noviembre de 2022 y julio de 2026 suma 3.126 contribuciones, con actividad especialmente intensa desde 2025 en el grupo principal, Army y TCB. Construyó guías de contratos asistidas por LLM, testnet y faucet, KoinosScan, dashboards, monitorización, un indexador Go/SQLite y el prototipo Koinos EVM Engine, además de mantener enlaces y datos públicos. Sus mensajes se centran en wallets, MEXC/Chainge/Vortex, seguridad, nodos y soporte; recomendaba transacciones pequeñas, wallets vacías para pruebas y cautela ante DMs, y distinguía prototipos funcionales de software auditado. El patrón es feedback-to-commit y operación aplicada, no autoría del protocolo base."
33,Filipe Menchen Ӄ🔮🇧🇷,@fmenchen,2821,,0,0,0,0,2821,2021-12-22,2026-04-13,495,495,7,Telegram human account; Discord not individually inventoried,over_1000,"Entre 2021-12-22 y 2026-04-13 registró 2.821 contribuciones, con mayor presencia en Koinos y Koinos Army. La clasificación del historial sitúa sus mensajes principalmente en wallets, exploradores y dApps del ecosistema, precios, liquidez, exchanges y evolución del mercado y conversación social, saludos, humor y cultura cotidiana del grupo. Entre los productos citados con más frecuencia aparecen Konio, Kondor y KoinDX, lo que permite reconstruir qué partes del ecosistema seguía, probaba o comentaba. Este resumen describe actividad conversacional verificable; las menciones y el volumen no demuestran por sí mismos autoría técnica, liderazgo formal ni impacto del mismo nivel."
34,Henk Cryptotank🔮,@Henkcryptotank,2725,,0,0,0,0,2725,2021-11-16,2024-06-24,348,348,5,Telegram human account; Discord not individually inventoried,over_1000,"Entre 2021-11-16 y 2024-06-24 registró 2.725 contribuciones, con mayor presencia en Koinos Army y Koinos. La clasificación del historial sitúa sus mensajes principalmente en precios, liquidez, exchanges y evolución del mercado, coordinación comunitaria, campañas, contenidos y difusión y conversación social, saludos, humor y cultura cotidiana del grupo. Entre los productos citados con más frecuencia aparecen MEXC, KoinDX y Kondor, lo que permite reconstruir qué partes del ecosistema seguía, probaba o comentaba. Este resumen describe actividad conversacional verificable; las menciones y el volumen no demuestran por sí mismos autoría técnica, liderazgo formal ni impacto del mismo nivel."
35,Claudio Cascone,@Koin_Claudio,2567,,0,0,0,0,2567,2022-02-04,2025-11-18,414,414,7,Telegram human account; Discord not individually inventoried,over_1000,"Entre 2022-02-04 y 2025-11-18 registró 2.567 contribuciones, con mayor presencia en Koinos Italia y Koinos Army. La clasificación del historial sitúa sus mensajes principalmente en conversación social, saludos, humor y cultura cotidiana del grupo, wallets, exploradores y dApps del ecosistema y coordinación comunitaria, campañas, contenidos y difusión. Entre los productos citados con más frecuencia aparecen Konio, BurnKoin y Kondor, lo que permite reconstruir qué partes del ecosistema seguía, probaba o comentaba. Este resumen describe actividad conversacional verificable; las menciones y el volumen no demuestran por sí mismos autoría técnica, liderazgo formal ni impacto del mismo nivel."
36,Sergi Ӄ,@Sergi991,2441,,0,0,0,0,2441,2021-12-11,2026-01-18,517,517,9,Telegram human account; Discord not individually inventoried,over_1000,"Entre 2021-12-11 y 2026-01-18 registró 2.441 contribuciones, con mayor presencia en Koinos y Koincast / Koinos Hispano. La clasificación del historial sitúa sus mensajes principalmente en wallets, exploradores y dApps del ecosistema, precios, liquidez, exchanges y evolución del mercado y coordinación comunitaria, campañas, contenidos y difusión. Entre los productos citados con más frecuencia aparecen Kondor, KoinDX y MEXC, lo que permite reconstruir qué partes del ecosistema seguía, probaba o comentaba. Este resumen describe actividad conversacional verificable; las menciones y el volumen no demuestran por sí mismos autoría técnica, liderazgo formal ni impacto del mismo nivel."
